Brand,Price,Horsepower,Fuel Efficiency,encoded_brand,scaled_fuel_efficieny,scaled_horsepower,scaled_encoded_brand,Performance_Index
Brand Z,94683,407,30.4,7,0.816,0.7675,0.75,0.0031053092952272317
Brand B,56270,378,31.7,5,0.868,0.695,0.5,0.004871334636573662
Brand B,83684,131,18.6,5,0.3440000000000001,0.0775,0.5,0.0011624683332536684
Brand C,38896,431,34.1,6,0.9640000000000001,0.8275,0.625,0.008019590703414233
Brand Y,50761,184,16.8,3,0.272,0.21,0.25,0.0026366698843600395
Brand Y,33463,424,11.5,3,0.06,0.81,0.25,0.008972596599228997
Brand W,88506,261,19.4,1,0.37599999999999995,0.4025,0.0,0.002130025083045217
Brand A,44379,170,26.8,4,0.672,0.175,0.375,0.0028626152008833007
Brand A,86056,100,18.3,4,0.332,0.0,0.375,0.0008772194849865204
Brand B,31436,114,27.4,5,0.696,0.035,0.5,0.0027999745514696527
Brand D,62879,128,14.3,9,0.17200000000000004,0.07,1.0,0.0014931853241940871
Brand E,44018,476,24.1,2,0.5640000000000001,0.94,0.125,0.007733881593893407
Brand C,49594,175,24.6,6,0.5840000000000001,0.1875,0.625,0.0026188651853046737
Brand Y,58403,198,26.3,3,0.652,0.245,0.25,0.0025082615619060663
Brand D,45321,436,19.5,9,0.38,0.84,1.0,0.006863264270426514
Brand D,47666,270,20.7,9,0.428,0.425,1.0,0.004095371963244242
Brand C,76017,132,22.9,6,0.5159999999999999,0.08,0.625,0.0013058921030822052
Brand A,89863,340,29.7,4,0.7879999999999999,0.6,0.375,0.002747626943235814
Brand C,65121,400,29.1,6,0.764,0.75,0.625,0.004433746410528094
Brand A,33376,472,11.2,4,0.04799999999999997,0.93,0.375,0.01
Brand B,39241,346,10.8,5,0.03200000000000003,0.615,0.5,0.006254682602380163
Brand W,76602,180,29.0,1,0.76,0.2,0.0,0.0017584397274222603
Brand E,46762,131,33.4,2,0.9359999999999999,0.0775,0.125,0.0021752705187973137
Brand A,78386,408,29.0,4,0.76,0.77,0.375,0.0037544969765009053
Brand W,54810,210,20.0,1,0.4,0.275,0.0,0.0027914614121510675
Brand E,36639,115,18.8,2,0.35200000000000004,0.0375,0.125,0.002351046698872786
Brand B,48905,484,20.7,5,0.428,0.96,0.5,0.007054697883651977
Brand E,90904,497,16.1,2,0.24400000000000005,0.9925,0.125,0.003880247293848455
Brand W,99480,381,16.4,1,0.25599999999999995,0.7025,0.0,0.002730398069963812
Brand E,86931,226,17.3,2,0.29200000000000004,0.315,0.125,0.0018795366440050153
Brand X,30973,329,33.9,8,0.956,0.5725,0.875,0.007763858844800309
Brand C,45142,234,10.7,6,0.027999999999999973,0.335,0.625,0.0036996588542820433
Brand Z,47384,293,15.8,7,0.23200000000000004,0.4825,0.75,0.004428499071416512
Brand Z,64485,378,25.5,7,0.62,0.695,0.75,0.004221912072575017
Brand Z,97568,210,11.1,7,0.043999999999999984,0.275,0.75,0.00154077156444736
Brand C,66689,137,16.7,6,0.26799999999999996,0.0925,0.625,0.001513143097062484
Brand Z,71316,293,31.3,7,0.852,0.4825,0.75,0.003007599977564642
Brand D,84341,152,16.0,9,0.24,0.13,1.0,0.001318457215351964
Brand Y,64313,246,23.3,3,0.532,0.365,0.25,0.0027862174055012204
Brand Y,50237,470,11.6,3,0.06399999999999999,0.925,0.25,0.006618229591735175
Brand W,31847,167,11.7,1,0.06799999999999998,0.1675,0.0,0.0037808898797374946
Brand X,98447,430,30.0,8,0.8,0.825,0.875,0.00314890245512814
Brand D,91221,374,18.2,9,0.32799999999999996,0.685,1.0,0.0029298078293375426
Brand B,66445,143,17.8,5,0.31200000000000006,0.1075,0.5,0.0015868763639100007
Brand A,83235,321,14.7,4,0.18799999999999997,0.5525,0.375,0.002752568030275725
Brand Y,65593,153,22.9,3,0.5159999999999999,0.1325,0.25,0.0017375329684569999
Brand Z,85764,195,25.3,7,0.612,0.2375,0.75,0.0016800755561774171
Brand D,78500,285,28.9,9,0.7559999999999999,0.4625,1.0,0.0026518471337579614
Brand A,74535,223,15.3,4,0.21200000000000002,0.3075,0.375,0.0021558999127926476
Brand D,31302,324,22.0,9,0.48,0.56,1.0,0.007456392562775541
Brand E,92519,452,10.2,2,0.007999999999999972,0.88,0.125,0.0034529123747554552
Brand Y,72976,479,13.8,3,0.15200000000000002,0.9475,0.25,0.004651392238544178
Brand Y,39822,396,19.7,3,0.38799999999999996,0.74,0.25,0.007109386771131536
Brand E,93107,386,27.4,2,0.696,0.715,0.125,0.0029903229617536807
Brand A,48612,206,17.0,4,0.28,0.265,0.375,0.0030712581255657036
Brand Y,88829,483,20.5,3,0.42,0.9575,0.25,0.003875423566628015
Brand X,39856,323,23.2,8,0.528,0.5575,0.875,0.005847551184263348
Brand W,78459,273,18.0,1,0.32,0.4325,0.0,0.002504492792413872
Brand E,55791,310,16.4,2,0.25599999999999995,0.525,0.125,0.003977702496818483
Brand C,75063,387,19.6,6,0.38400000000000006,0.7175,0.625,0.0036873026657607607
Brand A,56764,289,21.4,4,0.45599999999999996,0.4725,0.375,0.003676978366570361
Brand E,44259,190,16.0,2,0.24,0.225,0.125,0.003113491041370117
Brand D,37382,316,18.3,9,0.332,0.54,1.0,0.0060641485206784015
Brand X,87028,153,26.1,8,0.644,0.1325,0.875,0.0013206094590246817
Brand D,30943,341,19.5,9,0.38,0.6025,1.0,0.007903241443945318
Brand Z,61144,121,21.0,7,0.44,0.0525,0.75,0.0014882899385058222
Brand C,71918,337,27.0,6,0.68,0.5925,0.625,0.0033927528574209513
Brand D,77096,277,18.8,9,0.35200000000000004,0.4425,1.0,0.0025882017225277573
Brand Y,49574,279,12.2,3,0.08799999999999997,0.4475,0.25,0.004013394117884374
Brand B,39363,375,20.0,5,0.4,0.6875,0.5,0.006821126438533648
Brand B,34221,332,18.5,5,0.34,0.58,0.5,0.0069533327488968755
Brand E,88438,168,24.5,2,0.58,0.17,0.125,0.0014128542029444356
Brand A,50353,369,27.8,4,0.7120000000000001,0.6725,0.375,0.0052954143745159174
Brand E,63800,242,35.0,2,1.0,0.355,0.125,0.00281974921630094
Brand B,90449,296,21.0,5,0.44,0.49,0.5,0.0023604462183108715
Brand B,60938,322,34.3,5,0.9719999999999999,0.555,0.5,0.0038677015983458593
Brand D,33106,205,19.6,9,0.38400000000000006,0.2625,1.0,0.004512173019996375
Brand Y,51122,481,13.7,3,0.14799999999999996,0.9525,0.25,0.006666601463166543
Brand B,71185,307,21.6,5,0.4640000000000001,0.5175,0.5,0.003109924843717075
Brand C,75183,101,17.3,6,0.29200000000000004,0.0025,0.625,0.0010094037215859965
Brand C,31727,211,13.9,6,0.15600000000000003,0.2775,0.625,0.004786774671415513
Brand D,76106,220,17.6,9,0.30400000000000005,0.3,1.0,0.0020928704701337606
Brand D,63561,294,31.1,9,0.8440000000000001,0.485,1.0,0.0033846226459621465
Brand W,53323,172,16.9,1,0.27599999999999997,0.18,0.0,0.002353018397314479
Brand E,80449,108,27.1,2,0.684,0.02,0.125,0.0010407836020335864
Brand B,91533,292,34.4,5,0.976,0.48,0.5,0.0023458206329957498
Brand X,31005,280,29.9,8,0.7959999999999999,0.45,0.875,0.006610869214642799
Brand B,76365,250,23.7,5,0.5479999999999999,0.375,0.5,0.0023847312250376484
Brand E,68841,373,19.5,2,0.38,0.6825,0.125,0.0038777763251550672
Brand Z,72771,393,34.9,7,0.996,0.7325,0.75,0.003924228057880199
Brand W,87291,308,26.2,1,0.648,0.52,0.0,0.0025599431785636546
Brand X,83533,127,25.5,8,0.62,0.0675,0.875,0.001155830629810973
Brand C,56332,376,20.5,6,0.42,0.69,0.625,0.004781474117730597
Brand E,76522,248,28.4,2,0.736,0.37,0.125,0.0023799691591960483
Brand B,38192,496,22.3,5,0.49200000000000005,0.99,0.5,0.009266076665270214
Brand C,69835,484,13.9,6,0.15600000000000003,0.96,0.625,0.004911147705305362
Brand A,70902,246,30.6,4,0.8240000000000001,0.365,0.375,0.002558178894812558
Brand C,64592,330,29.5,6,0.78,0.575,0.625,0.003713308149616051
Brand W,75839,343,22.2,1,0.488,0.6075,0.0,0.003253734885744801
Brand B,32522,492,23.1,5,0.524,0.98,0.5,0.010802841153680584
Brand Z,36535,433,18.1,7,0.32400000000000007,0.8325,0.75,0.008444778979061174
Brand Y,88046,168,33.5,3,0.94,0.17,0.25,0.0014498103264202803
Brand A,59600,349,24.2,4,0.568,0.6225,0.375,0.004220805369127516
Brand X,35908,182,31.9,8,0.8759999999999999,0.205,0.875,0.0038144703130221676
Brand W,72974,150,33.1,1,0.924,0.125,0.0,0.0015749445007811002
Brand W,53806,497,19.4,1,0.37599999999999995,0.9925,0.0,0.006573988031074601
Brand E,54205,264,16.8,2,0.272,0.41,0.125,0.0035022599391200068
Brand E,55313,473,18.3,2,0.332,0.9325,0.125,0.006085187930504583
Brand B,71229,359,12.9,5,0.11600000000000002,0.6475,0.5,0.003582389195411981
Brand W,66275,323,13.7,1,0.14799999999999996,0.5575,0.0,0.0034735571482459445
Brand X,84850,188,15.8,8,0.23200000000000004,0.22,0.875,0.0016068355922215676
Brand E,61812,185,33.0,2,0.92,0.2125,0.125,0.0022552255225522554
Brand Z,72235,253,14.3,7,0.17200000000000004,0.3825,0.75,0.0025111095729217136
Brand Y,58407,387,33.1,3,0.924,0.7175,0.25,0.004808156556577122
Brand D,80985,172,20.1,9,0.4040000000000001,0.18,1.0,0.001561153299993826
Brand A,40398,150,30.1,4,0.804,0.125,0.375,0.002822664488341007
Brand C,55465,400,11.4,6,0.056000000000000015,0.75,0.625,0.005109889119264402
Brand Z,31743,186,31.5,7,0.86,0.215,0.75,0.004399395142236083
Brand Y,77180,260,31.1,3,0.8440000000000001,0.4,0.25,0.0024790101062451414
Brand E,81336,446,34.1,2,0.9640000000000001,0.865,0.125,0.003964173305793252
Brand D,42672,165,26.2,9,0.648,0.1625,1.0,0.0028908886389201346
Brand D,44391,285,24.8,9,0.5920000000000001,0.4625,1.0,0.004661755761302967
Brand W,76034,275,15.1,1,0.204,0.4375,0.0,0.0025913407159954757
Brand A,96484,444,28.9,4,0.7559999999999999,0.86,0.375,0.003311118942000746
Brand B,38850,456,32.3,5,0.8919999999999999,0.89,0.5,0.008465637065637065
Brand X,86932,282,32.7,8,0.9080000000000001,0.455,0.875,0.002383587171582386
Brand C,35956,333,11.6,6,0.06399999999999999,0.5825,0.625,0.006579708532651017
Brand W,86440,270,26.2,1,0.648,0.425,0.0,0.0022774178621008793
Brand W,75155,313,12.7,1,0.10799999999999997,0.5325,0.0,0.0029660035925753443
Brand E,82161,188,35.0,2,1.0,0.22,0.125,0.0017295310427088277
Brand A,38930,242,20.0,4,0.4,0.355,0.375,0.004505522733110711
Brand D,69829,359,28.3,9,0.732,0.6475,1.0,0.003720374056624038
Brand X,45330,309,23.4,8,0.5359999999999999,0.5225,0.875,0.004926538716082065
Brand Y,35114,318,33.7,3,0.9480000000000001,0.545,0.25,0.006627271173890756
Brand X,48390,252,25.7,8,0.628,0.38,0.875,0.003804711717296962
Brand D,99608,346,12.1,9,0.08399999999999999,0.615,1.0,0.0024679744598827403
Brand X,91753,337,13.3,8,0.13200000000000003,0.5925,0.875,0.0026145194162588686
Brand X,37796,388,10.4,8,0.016000000000000014,0.72,0.875,0.007268494020531272
Brand B,50165,366,23.7,5,0.5479999999999999,0.665,0.5,0.005248878700289047
Brand C,60479,432,24.8,6,0.5920000000000001,0.83,0.625,0.005123100580366738
Brand A,65286,201,15.9,4,0.23600000000000002,0.2525,0.375,0.002228195937873357
Brand C,95003,378,21.8,6,0.47200000000000003,0.695,0.625,0.0028540151363641146
Brand Y,64309,252,23.2,3,0.528,0.38,0.25,0.002851233886392262
Brand B,71281,152,24.1,5,0.5640000000000001,0.13,0.5,0.0015941134383636593
Brand C,92767,278,15.3,6,0.21200000000000002,0.445,0.625,0.0021472075199154873
Brand E,81021,486,11.0,2,0.04,0.965,0.125,0.004239641574406636
Brand Y,58605,146,15.1,3,0.204,0.115,0.25,0.001821175667605153
Brand A,66807,379,25.4,4,0.616,0.6975,0.375,0.004085200652626222
Brand C,85904,372,11.8,6,0.07200000000000002,0.68,0.625,0.003072499534363941
Brand C,32628,416,33.3,6,0.9319999999999999,0.79,0.625,0.009231028564423194
Brand D,91079,372,17.3,9,0.29200000000000004,0.68,1.0,0.0029160399213869277
Brand W,41076,470,24.8,1,0.5920000000000001,0.925,0.0,0.008190670951407148
Brand Z,60237,387,22.8,7,0.512,0.7175,0.75,0.004610787389810249
Brand X,92877,340,34.9,8,0.996,0.6,0.875,0.0026752586754524798
Brand D,76630,422,10.8,9,0.03200000000000003,0.805,1.0,0.003897168210883466
Brand Z,96625,413,12.2,7,0.08799999999999997,0.7825,0.75,0.0030298576972833118
Brand X,90523,361,10.5,8,0.02,0.6525,0.875,0.002826353523413939
Brand W,58818,484,17.2,1,0.288,0.96,0.0,0.005847869699751776
Brand W,64867,299,13.3,1,0.13200000000000003,0.4975,0.0,0.003288112599626929
Brand D,83017,291,32.8,9,0.9119999999999999,0.4775,1.0,0.002572244239131744
Brand A,96630,244,13.6,4,0.144,0.36,0.375,0.001809789920314602
Brand D,70614,207,33.7,9,0.9480000000000001,0.2675,1.0,0.0021951737615770245
Brand B,49723,295,12.6,5,0.10399999999999998,0.4875,0.5,0.004229028819660922
Brand X,43467,110,35.0,8,1.0,0.025,0.875,0.0020130213725354867
Brand B,67384,201,12.8,5,0.11200000000000003,0.2525,0.5,0.002145019589219993
Brand E,68669,202,28.3,2,0.732,0.255,0.125,0.002182789905197396
Brand X,75586,238,26.3,8,0.652,0.345,0.875,0.0023084962823803346
Brand D,68136,172,30.2,9,0.8079999999999999,0.18,1.0,0.0019000234824468707
Brand C,56032,329,13.8,6,0.15200000000000002,0.5725,0.625,0.004184037692747001
Brand Y,97259,314,33.2,3,0.9280000000000002,0.535,0.25,0.002362352070245427
Brand C,97974,170,20.7,6,0.428,0.175,0.625,0.0012779921203584623
Brand E,80007,218,23.6,2,0.544,0.295,0.125,0.001995825365280538
Brand Y,42677,153,12.7,3,0.10799999999999997,0.1325,0.25,0.002598823722379736
Brand Z,63670,215,28.9,7,0.7559999999999999,0.2875,0.75,0.0024999214700801003
Brand Z,37521,197,23.4,7,0.5359999999999999,0.2425,0.75,0.0038623704059060258
Brand X,67829,443,28.1,8,0.7240000000000001,0.8575,0.875,0.004696073950670067
Brand A,43999,481,12.3,4,0.09200000000000003,0.9525,0.375,0.0077363121889133845
Brand B,39646,452,16.0,5,0.24,0.88,0.5,0.008101700045401805
Brand C,72030,305,10.5,6,0.02,0.5125,0.625,0.0030077745383867835
Brand W,54784,294,14.7,1,0.18799999999999997,0.485,0.0,0.0038370692172897194
Brand E,89287,392,14.3,2,0.17200000000000004,0.73,0.125,0.0031212830535240293
Brand B,46593,270,32.5,5,0.9,0.425,0.5,0.004265662223939219
Brand W,88187,436,28.0,1,0.72,0.84,0.0,0.0035560796942860056
Brand E,84484,315,23.2,2,0.528,0.5375,0.125,0.0026923441124946735
Brand X,69389,372,28.4,8,0.736,0.68,0.875,0.0038755422329187616
Brand B,98972,251,16.7,5,0.26799999999999996,0.3775,0.5,0.0018258699430141855
Brand E,56475,191,21.4,2,0.45599999999999996,0.2275,0.125,0.0024810978308986275
Brand X,86108,369,15.1,8,0.204,0.6725,0.875,0.003052329632554466
Brand C,38746,406,16.9,6,0.27599999999999997,0.765,0.625,0.007465802921591906
Brand Y,80184,100,30.6,3,0.8240000000000001,0.0,0.25,0.0009874787987628455
Brand E,77171,309,28.6,2,0.7440000000000001,0.5225,0.125,0.0029140480232211583
Brand D,88021,455,24.7,9,0.588,0.8875,1.0,0.0037026391429318007
Brand Z,77372,190,31.2,7,0.848,0.225,0.75,0.0018399420979165592
Brand D,62175,393,23.5,9,0.54,0.7325,1.0,0.004537997587454765
Brand C,90777,365,27.8,6,0.7120000000000001,0.6625,0.625,0.0029064630908710353
Brand E,56164,239,25.8,2,0.632,0.3475,0.125,0.003116587137668257
Brand D,64275,270,19.0,9,0.36,0.425,1.0,0.003029171528588098
Brand A,86236,414,33.6,4,0.9440000000000001,0.785,0.375,0.0034774340182754295
Brand Z,44930,136,16.4,7,0.25599999999999995,0.09,0.75,0.002228355219229913
Brand X,95270,349,23.9,8,0.5559999999999999,0.6225,0.875,0.0026395507504985826
Brand A,89794,199,11.3,4,0.052000000000000025,0.2475,0.375,0.0015890816758358016
Brand D,97961,138,30.0,9,0.8,0.095,1.0,0.0010779800124539358
Brand Z,85449,356,13.0,7,0.12,0.64,0.75,0.0029620007255790003
Brand X,33159,473,25.3,8,0.612,0.9325,0.875,0.010214119846798755
Brand E,60429,411,18.3,2,0.332,0.7775,0.125,0.004851809561634315
Brand Y,41836,205,13.6,3,0.144,0.2625,0.25,0.003527583899034325
Brand B,77828,494,33.8,5,0.9519999999999998,0.985,0.5,0.004573418307036028
Brand Z,32643,458,28.8,7,0.752,0.895,0.75,0.010086082774254816
Brand W,71043,170,31.2,1,0.848,0.175,0.0,0.0018067930689863883
Brand C,76510,378,26.4,6,0.6559999999999999,0.695,0.625,0.00356188733498889
Brand W,94025,172,19.6,1,0.38400000000000006,0.18,0.0,0.0013430470619516085
Brand B,77633,363,28.1,5,0.7240000000000001,0.6575,0.5,0.0033816804709337523
Brand X,74483,167,18.5,8,0.34,0.1675,0.875,0.0016439993018541141
Brand W,33916,154,28.1,1,0.7240000000000001,0.135,0.0,0.0034269961080316074
Brand D,79732,231,18.1,9,0.32400000000000007,0.3275,1.0,0.0020961470927607483
Brand E,93297,215,23.0,2,0.52,0.2875,0.125,0.0016870853296461837
Brand B,85486,222,19.2,5,0.368,0.305,0.5,0.0018852209718550402
Brand D,84866,348,16.4,9,0.25599999999999995,0.62,1.0,0.002928381212735371
Brand B,91604,148,30.2,5,0.8079999999999999,0.12,0.5,0.0012298589581240993
Brand C,60099,443,27.8,6,0.7120000000000001,0.8575,0.625,0.005298590658746401
Brand X,61679,207,28.8,8,0.752,0.2675,0.875,0.0024893399698438685
Brand X,90424,353,22.0,8,0.48,0.6325,0.875,0.0028056710607803235
Brand Z,70428,133,32.6,7,0.904,0.0825,0.75,0.0014607826432668823
Brand X,46317,300,24.9,8,0.596,0.5,0.875,0.0046952522831789625
Brand A,63079,297,31.7,4,0.868,0.4925,0.375,0.003446630415827771
Brand D,31081,251,15.5,9,0.22,0.3775,1.0,0.005802580354557447
Brand Z,97062,255,18.4,7,0.33599999999999997,0.3875,0.75,0.00189590158867528
Brand W,52316,414,10.8,1,0.03200000000000003,0.785,0.0,0.0056013456686291
Brand X,45251,115,12.0,8,0.08,0.0375,0.875,0.0018585224635919648
Brand B,68405,110,12.1,5,0.08399999999999999,0.025,0.5,0.0011787150062129961
Brand C,64068,251,28.1,6,0.7240000000000001,0.3775,0.625,0.002873977648748205
Brand W,44218,397,21.5,1,0.46,0.7425,0.0,0.006430639106246324
Brand Y,75729,107,12.1,3,0.08399999999999999,0.0175,0.25,0.0010369871515535658
Brand D,93092,107,24.8,9,0.5920000000000001,0.0175,1.0,0.0008845013534997635
Brand B,85346,158,23.5,5,0.54,0.145,0.5,0.0013785063154687974
Brand Y,38410,331,29.8,3,0.792,0.5775,0.25,0.00626503514709711
Brand B,97751,390,18.3,5,0.332,0.725,0.5,0.0028489734120367054
Brand E,85010,388,14.3,2,0.17200000000000004,0.72,0.125,0.0032453828961298667
Brand D,46301,294,32.8,9,0.9119999999999999,0.485,1.0,0.004657350813157383
Brand W,87460,344,19.0,1,0.36,0.61,0.0,0.00281843128287217
Brand W,68975,400,13.0,1,0.12,0.75,0.0,0.0041159840521928235
Brand D,75006,414,14.7,9,0.18799999999999997,0.785,1.0,0.0039224862011039115
Brand B,41238,216,32.0,5,0.88,0.29,0.5,0.0038993161647024586
Brand W,47467,473,23.5,1,0.54,0.9325,0.0,0.007123896601849706
Brand Y,44422,381,31.5,3,0.86,0.7025,0.25,0.006216514339741569
Brand Z,42930,279,11.8,7,0.07200000000000002,0.4475,0.75,0.004631726065688329
Brand D,60122,460,21.0,9,0.44,0.9,1.0,0.005460563520840957
Brand B,66154,406,29.9,5,0.7959999999999999,0.765,0.5,0.004431629228769235
Brand W,96043,478,24.9,1,0.596,0.945,0.0,0.0035616338515040134
Brand D,91652,162,22.0,9,0.48,0.155,1.0,0.0013093003971544536
Brand Y,56848,114,30.5,3,0.82,0.035,0.25,0.0015646988460455953
Brand D,50394,173,13.0,9,0.12,0.1825,1.0,0.0024804540223042426
Brand C,74128,254,29.4,6,0.7759999999999999,0.385,0.625,0.0025175372328944527
Brand C,73289,419,27.3,6,0.6920000000000001,0.7975,0.625,0.00411371419994815
Brand D,89075,237,17.7,9,0.308,0.3425,1.0,0.0019220881279820375
Brand Z,68237,222,21.8,7,0.47200000000000003,0.305,0.75,0.002373199290707387
Brand Z,58322,152,10.6,7,0.023999999999999987,0.13,0.75,0.0018788793251260242
Brand Z,72416,246,25.1,7,0.6040000000000001,0.365,0.75,0.00248191007512152
Brand B,77161,376,16.0,5,0.24,0.69,0.5,0.003473257215432667
Brand Z,30588,287,28.4,7,0.736,0.4675,0.75,0.006846475742121093
Brand Y,53590,118,26.6,3,0.664,0.045,0.25,0.0016902407165515954
Brand W,79720,131,21.6,1,0.4640000000000001,0.0775,0.0,0.0012315604616156548
Brand Y,55840,489,28.3,3,0.732,0.9725,0.25,0.0062820558739255005
Brand A,41824,346,33.8,4,0.9519999999999998,0.615,0.375,0.006033377964804896
Brand C,86170,151,27.9,6,0.716,0.1275,0.625,0.001323778577231055
Brand C,30947,255,34.9,6,0.996,0.3875,0.625,0.006106246162794455
Brand C,82804,306,20.7,6,0.428,0.515,0.625,0.002661827931017825
Brand C,95145,228,18.9,6,0.3559999999999999,0.32,0.625,0.0017370329497083396
Brand Z,65892,443,11.5,7,0.06,0.8575,0.75,0.004758544284586899
Brand Z,97905,369,17.1,7,0.28400000000000003,0.6725,0.75,0.0026906695265818906
Brand B,42487,473,22.4,5,0.49599999999999994,0.9325,0.5,0.007951137995151458
Brand B,34604,104,32.9,5,0.9159999999999999,0.01,0.5,0.0023890301699225525
Brand B,77429,448,28.2,5,0.728,0.87,0.5,0.004159423471825801
Brand C,80662,344,23.6,6,0.544,0.61,0.625,0.0030730703429123997
Brand E,30095,443,24.2,2,0.568,0.8575,0.125,0.010545273301212825
Brand Z,66724,289,11.8,7,0.07200000000000002,0.4725,0.75,0.003084946945626761
Brand E,80558,404,11.5,2,0.06,0.76,0.125,0.003553340450358747
Brand W,93145,312,33.6,1,0.9440000000000001,0.53,0.0,0.002452949702077406
Brand W,45332,453,16.0,1,0.24,0.8825,0.0,0.007100944145416041
Brand C,83604,121,13.8,6,0.15200000000000002,0.0525,0.625,0.0010626285823644801
Brand E,65186,211,25.1,2,0.6040000000000001,0.2775,0.125,0.002381339551437425
Brand Y,53694,459,27.8,3,0.7120000000000001,0.8975,0.25,0.0061392334339032285
Brand X,34062,372,27.4,8,0.696,0.68,0.875,0.007886207503963362
Brand B,34924,460,18.6,5,0.3440000000000001,0.9,0.5,0.009379796128736686
Brand Y,39514,445,28.6,3,0.7440000000000001,0.8625,0.25,0.008100420104266842
Brand Z,34110,461,20.0,7,0.4,0.9025,0.75,0.009636470243330402
Brand Z,71939,164,33.5,7,0.94,0.16,0.75,0.0017354981303604443
Brand A,40979,474,24.8,4,0.5920000000000001,0.935,0.375,0.008278386490641547
Brand Y,46958,396,15.9,3,0.23600000000000002,0.74,0.25,0.006004727628945014
Brand Z,90222,295,12.2,7,0.08799999999999997,0.4875,0.75,0.002329365343264392
Brand E,60037,374,21.3,2,0.452,0.685,0.125,0.004467078634841848
Brand W,40505,264,32.3,1,0.8919999999999999,0.41,0.0,0.0048016294284656215
Brand C,99207,357,29.4,6,0.7759999999999999,0.6425,0.625,0.00260788049230397
Brand D,88173,255,32.4,9,0.8959999999999999,0.3875,1.0,0.002134667074954918
Brand A,99860,329,11.1,4,0.043999999999999984,0.5725,0.375,0.002339575405567795
Brand X,51005,490,20.6,8,0.42400000000000004,0.975,0.875,0.006845995490638173
Brand C,34951,254,23.1,6,0.524,0.385,0.625,0.005285399559383136
Brand B,47995,165,20.1,5,0.4040000000000001,0.1625,0.5,0.0025321387644546304
Brand E,96881,190,17.2,2,0.288,0.225,0.125,0.0014260794170167525
Brand D,66715,277,30.8,9,0.8320000000000001,0.4425,1.0,0.0030448924529715956
Brand C,92372,358,18.1,6,0.32400000000000007,0.645,0.625,0.002771727363270255
Brand B,82910,272,14.3,5,0.17200000000000004,0.43,0.5,0.002348208901218188
Brand A,68562,453,28.5,4,0.74,0.8825,0.375,0.00474971558589306
Brand A,75058,129,17.2,4,0.288,0.0725,0.375,0.0012718164619361027
Brand Y,84394,366,21.9,3,0.4759999999999999,0.665,0.25,0.00311360997227291
Brand Y,78424,365,17.2,3,0.288,0.6625,0.25,0.0033237274303784554
Brand B,40786,453,11.5,5,0.06,0.8825,0.5,0.007859314470651694
Brand Z,91153,450,16.1,7,0.24400000000000005,0.875,0.75,0.0035087161146643555
Brand E,65393,461,20.5,2,0.42,0.9025,0.125,0.005028825715290627
Brand B,96597,169,13.7,5,0.14799999999999996,0.1725,0.5,0.0012672236197811527
Brand Z,64441,480,23.0,7,0.52,0.95,0.75,0.005321146475070219
Brand E,32497,389,15.2,2,0.20799999999999996,0.7225,0.125,0.008519555651290887
Brand Z,32890,118,10.6,7,0.023999999999999987,0.045,0.75,0.0026080875646093036
Brand E,73428,357,32.3,2,0.8919999999999999,0.6425,0.125,0.003535299885602222
Brand A,77592,476,19.2,4,0.368,0.94,0.375,0.004368491597071863
Brand D,45956,249,12.8,9,0.11200000000000003,0.3725,1.0,0.0038763164766298197
Brand Z,85745,264,28.4,7,0.736,0.41,0.75,0.002254592104495889
Brand W,65684,349,31.4,1,0.856,0.6225,0.0,0.003862736739540831
Brand Y,67921,180,11.7,3,0.06799999999999998,0.2,0.25,0.001906774046318517
Brand D,56212,392,33.2,9,0.9280000000000002,0.73,1.0,0.0050587063260513765
Brand Z,94740,313,32.9,7,0.9159999999999999,0.5325,0.75,0.0024168249947223983
Brand C,41184,477,26.4,6,0.6559999999999999,0.9425,0.625,0.008299825174825175
Brand D,84565,204,21.5,9,0.46,0.26,1.0,0.0017649145627623719
Brand Z,51147,232,27.4,7,0.696,0.33,0.75,0.0033358750268832967
Brand A,60738,373,21.0,4,0.44,0.6825,0.375,0.00440251572327044
Brand E,36517,281,30.3,2,0.812,0.4525,0.125,0.005635457458170167
Brand A,83928,264,21.6,4,0.4640000000000001,0.41,0.375,0.0022790963683156987
Brand X,40091,489,14.6,8,0.184,0.9725,0.875,0.008647327330323513
Brand Z,36478,205,12.7,7,0.10799999999999997,0.2625,0.75,0.0040383244695432865
Brand A,34137,183,25.6,4,0.6240000000000001,0.2075,0.375,0.003977502416732577
Brand X,52831,188,13.0,8,0.12,0.22,0.875,0.00256478204084723
Brand W,44434,143,14.9,1,0.196,0.1075,0.0,0.002353378043840302
Brand A,69895,451,23.7,4,0.5479999999999999,0.8775,0.375,0.0046184991773374345
Brand Z,32429,439,22.1,7,0.48400000000000004,0.8475,0.75,0.009680532856393967
Brand D,92467,288,11.8,9,0.07200000000000002,0.47,1.0,0.0022185212021586078
Brand X,48089,141,19.3,8,0.37200000000000005,0.1025,0.875,0.002172846181039323
Brand B,75505,198,18.2,5,0.32799999999999996,0.245,0.5,0.001907953115687703
Brand C,67980,168,19.1,6,0.36400000000000005,0.17,0.625,0.0018142100617828773
Brand W,83066,371,12.8,1,0.11200000000000003,0.6775,0.0,0.003172657886499891
Brand W,66320,277,25.5,1,0.62,0.4425,0.0,0.0030390530759951745
Brand A,80998,123,22.1,4,0.48400000000000004,0.0575,0.375,0.001144843082545248
